Year,NOC,Bronze,Gold,Silver,Total
1896,AUS,1,2,0,3
1896,AUT,2,2,1,5
1896,DEN,3,1,2,6
1896,FRA,2,5,4,11
1896,GBR,3,3,3,9
1896,GER,2,25,5,32
1896,GRE,20,10,18,48
1896,HUN,3,2,1,6
1896,SUI,0,1,2,3
1896,USA,2,11,7,20
1900,AUS,3,3,0,6
1900,AUT,3,0,3,6
1900,BEL,13,6,24,43
1900,BOH,2,0,1,3
1900,CAN,1,1,0,2
1900,COL,0,0,1,1
1900,CUB,0,1,1,2
1900,DEN,2,4,3,9
1900,ESP,0,2,0,2
1900,FRA,82,52,101,235
1900,GBR,15,59,34,108
1900,GER,11,14,20,45
1900,HAI,0,1,0,1
1900,HUN,2,1,2,5
1900,IND,0,0,2,2
1900,ITA,0,3,2,5
1900,LUX,0,1,0,1
1900,MEX,3,0,0,3
1900,NED,16,3,8,27
1900,NOR,3,0,6,9
1900,NZL,0,1,0,1
1900,SUI,1,16,4,21
1900,SWE,1,3,0,4
1900,USA,17,30,16,63
1904,AUS,1,0,3,4
1904,AUT,1,2,1,4
1904,CAN,12,27,9,48
1904,CUB,0,5,0,5
1904,FRA,0,0,2,2
1904,GBR,0,1,1,2
1904,GER,7,4,5,16
1904,GRE,1,1,0,2
1904,HUN,1,2,1,4
1904,NOR,0,2,0,2
1904,SUI,2,1,0,3
1904,USA,125,128,141,394
1906,AUS,3,0,0,3
1906,AUT,3,3,3,9
1906,BEL,6,2,3,11
1906,BOH,3,0,0,3
1906,CAN,0,1,1,2
1906,DEN,1,14,19,34
1906,FIN,1,2,1,4
1906,FRA,28,20,16,64
1906,GBR,8,9,22,39
1906,GER,6,14,10,30
1906,GRE,30,24,48,102
1906,HUN,3,5,5,13
1906,ITA,27,21,8,56
1906,NED,5,0,1,6
1906,NOR,0,20,5,25
1906,SUI,1,8,3,12
1906,SWE,14,2,5,21
1906,USA,6,12,6,24
1908,ANZ,2,15,2,19
1908,AUT,1,0,0,1
1908,BEL,8,1,24,33
1908,BOH,6,0,0,6
1908,CAN,30,14,8,52
1908,DEN,3,0,14,17
1908,FIN,28,1,1,30
1908,FRA,23,12,5,40
1908,GBR,90,147,131,368
1908,GER,6,4,11,21
1908,GRE,1,0,3,4
1908,HUN,6,7,7,20
1908,ITA,0,2,6,8
1908,NED,16,0,0,16
1908,NOR,3,7,32,42
1908,RSA,0,1,1,2
1908,RUS,0,1,2,3
1908,SWE,18,48,18,84
1908,USA,15,34,16,65
1912,ANZ,3,5,2,10
1912,AUT,5,0,9,14
1912,BEL,11,7,1,19
1912,CAN,3,3,2,8
1912,DEN,33,5,49,87
1912,FIN,22,9,40,71
1912,FRA,5,10,11,26
1912,GBR,59,47,64,170
1912,GER,23,11,19,53
1912,GRE,1,1,0,2
1912,HUN,3,10,17,30
1912,ITA,2,22,1,25
1912,NED,26,0,0,26
1912,NOR,34,40,6,80
1912,RSA,0,5,2,7
1912,RUS,9,0,5,14
1912,SUI,0,2,0,2
1912,SWE,25,103,62,190
1912,USA,36,46,25,107
1920,AUS,1,0,6,7
1920,BEL,66,57,65,188
1920,BRA,5,1,1,7
1920,CAN,3,10,3,16
1920,DEN,1,26,44,71
1920,ESP,0,0,23,23
1920,EST,0,1,2,3
1920,FIN,17,21,14,52
1920,FRA,57,13,71,141
1920,GBR,17,52,42,111
1920,GRE,0,0,5,5
1920,ITA,8,67,9,84
1920,JPN,0,0,3,3
1920,LUX,0,0,1,1
1920,NED,25,15,10,50
1920,NOR,27,58,52,137
1920,NZL,1,0,0,1
1920,RSA,6,3,12,21
1920,SUI,21,6,2,29
1920,SWE,64,52,38,154
1920,TCH,10,0,0,10
1920,USA,38,111,45,194
1924,ARG,2,5,3,10
1924,AUS,2,4,5,11
1924,AUT,1,3,4,8
1924,BEL,11,3,30,44
1924,CAN,1,9,19,29
1924,DEN,3,2,9,14
1924,EST,4,1,1,6
1924,FIN,18,28,21,67
1924,FRA,32,37,51,120
1924,GBR,30,31,34,95
1924,GRE,0,1,0,1
1924,HAI,5,0,0,5
1924,HUN,8,2,12,22
1924,IND,0,7,0,7
1924,IRL,1,0,1,2
1924,ITA,21,25,5,51
1924,JPN,1,0,0,1
1924,LUX,0,1,1,2
1924,MON,1,0,0,1
1924,NED,18,8,1,27
1924,NEP,0,1,0,1
1924,NOR,9,18,12,39
1924,NZL,1,0,0,1
1924,POL,1,0,4,5
1924,POR,4,0,0,4
1924,ROU,16,0,0,16
1924,RSA,1,1,1,3
1924,SUI,22,22,25,69
1924,SWE,43,8,30,81
1924,TCH,5,1,4,10
1924,URU,0,14,0,14
1924,USA,50,98,46,194
1924,YUG,0,2,0,2
1928,ARG,5,3,18,26
1928,AUS,1,1,2,4
1928,AUT,4,3,4,11
1928,BEL,5,0,1,6
1928,CAN,21,19,5,45
1928,CHI,0,0,1,1
1928,DEN,4,6,5,15
1928,EGY,1,2,1,4
1928,ESP,0,3,0,3
1928,EST,6,2,1,9
1928,FIN,10,10,9,29
1928,FRA,14,14,24,52
1928,GBR,25,7,27,59
1928,GER,46,21,15,82
1928,HAI,0,0,1,1
1928,HUN,0,10,11,21
1928,IND,0,14,0,14
1928,IRL,0,1,0,1
1928,ITA,26,24,22,72
1928,JPN,1,2,6,9
1928,LUX,0,1,0,1
1928,NED,8,20,29,57
1928,NOR,6,10,8,24
1928,NZL,0,1,0,1
1928,PHI,1,0,0,1
1928,POL,15,2,3,20
1928,POR,6,0,0,6
1928,RSA,5,1,0,6
1928,SUI,16,16,10,42
1928,SWE,23,9,21,53
1928,TCH,3,2,12,17
1928,URU,0,17,0,17
1928,USA,19,53,30,102
1928,YUG,10,1,1,12
1932,ARG,0,3,1,4
1932,AUS,1,3,1,5
1932,AUT,3,2,2,7
1932,BEL,1,0,0,1
1932,CAN,29,16,14,59
1932,DEN,4,0,7,11
1932,ESP,1,0,0,1
1932,FIN,17,6,9,32
1932,FRA,6,28,8,42
1932,GBR,14,9,12,35
1932,GER,21,10,26,57
1932,HUN,10,20,5,35
1932,IND,0,15,0,15
1932,IRL,0,2,0,2
1932,ITA,18,21,38,77
1932,JPN,4,10,17,31
1932,LAT,0,0,1,1
1932,MEX,0,0,2,2
1932,NED,1,2,10,13
1932,NOR,3,3,4,10
1932,NZL,0,0,2,2
1932,PHI,3,0,0,3
1932,POL,14,3,4,21
1932,RSA,3,2,0,5
1932,SUI,0,0,3,3
1932,SWE,12,14,9,35
1932,TCH,2,1,3,6
1932,URU,1,0,0,1
1932,USA,64,91,68,223
1936,ARG,4,5,2,11
1936,AUS,1,0,0,1
1936,AUT,9,7,44,60
1936,BEL,14,0,0,14
1936,CAN,9,1,25,35
1936,DEN,3,0,3,6
1936,EGY,2,2,1,5
1936,EST,3,2,2,7
1936,FIN,16,12,8,36
1936,FRA,19,13,13,45
1936,GBR,12,24,17,53
1936,GER,61,97,73,231
1936,HUN,17,25,1,43
1936,IND,0,19,0,19
1936,ITA,5,37,34,76
1936,JPN,10,9,4,23
1936,LAT,1,0,1,2
1936,MEX,16,0,0,16
1936,NED,21,9,7,37
1936,NOR,18,8,20,46
1936,NZL,0,1,0,1
1936,PHI,1,0,0,1
1936,POL,6,0,6,12
1936,POR,3,0,0,3
1936,ROU,0,0,1,1
1936,RSA,0,0,1,1
1936,SUI,24,9,29,62
1936,SWE,23,9,13,45
1936,TCH,1,5,12,18
1936,TUR,1,1,0,2
1936,USA,30,53,29,112
1936,YUG,0,0,1,1
1948,ARG,1,3,7,11
1948,AUS,5,2,9,16
1948,AUT,8,3,5,16
1948,BEL,8,7,6,21
1948,BRA,10,0,0,10
1948,CAN,7,13,2,22
1948,CUB,0,0,2,2
1948,DEN,27,7,17,51
1948,EGY,1,2,2,5
1948,ESP,0,0,3,3
1948,FIN,10,18,14,42
1948,FRA,26,28,23,77
1948,GBR,14,7,42,63
1948,HUN,22,15,27,64
1948,IND,0,20,0,20
1948,IRI,1,0,0,1
1948,IRL,1,0,0,1
1948,ITA,14,22,32,68
1948,JAM,0,1,2,3
1948,KOR,2,0,0,2
1948,MEX,4,4,1,9
1948,NED,32,8,2,42
1948,NOR,17,7,7,31
1948,PAN,2,0,0,2
1948,PER,0,1,0,1
1948,POL,1,1,0,2
1948,POR,3,0,2,5
1948,PUR,1,0,0,1
1948,RSA,2,2,2,6
1948,SRI,0,0,1,1
1948,SUI,25,9,30,64
1948,SWE,33,37,18,88
1948,TCH,3,14,20,37
1948,TTO,0,0,1,1
1948,TUR,2,6,4,12
1948,URU,2,0,1,3
1948,USA,41,93,34,168
1948,YUG,0,0,16,16
1952,ARG,2,2,2,6
1952,AUS,11,7,2,20
1952,AUT,4,2,5,11
1952,BEL,0,5,3,8
1952,BRA,2,1,0,3
1952,BUL,1,0,0,1
1952,CAN,1,17,3,21
1952,CHI,0,0,4,4
1952,DEN,5,3,1,9
1952,EGY,1,0,0,1
1952,ESP,0,0,1,1
1952,FIN,31,14,7,52
1952,FRA,18,14,9,41
1952,GBR,26,4,2,32
1952,GER,28,8,16,52
1952,HUN,34,53,17,104
1952,IND,1,14,0,15
1952,IRI,4,0,3,7
1952,IRL,0,0,1,1
1952,ITA,16,18,22,56
1952,JAM,0,5,3,8
1952,JPN,2,1,9,12
1952,KOR,2,0,0,2
1952,LIB,1,0,1,2
1952,LUX,0,1,0,1
1952,MEX,0,0,1,1
1952,NED,0,0,21,21
1952,NOR,6,12,14,32
1952,NZL,2,1,0,3
1952,POL,1,1,2,4
1952,POR,2,0,0,2
1952,ROU,2,1,1,4
1952,RSA,4,2,8,14
1952,SUI,18,2,19,39
1952,SWE,46,23,24,93
1952,TCH,10,11,4,25
1952,TTO,2,0,0,2
1952,TUR,1,2,0,3
1952,URS,19,36,62,117
1952,URU,14,0,0,14
1952,USA,29,87,48,164
1952,VEN,1,0,0,1
1952,YUG,0,4,20,24
1956,ARG,1,0,1,2
1956,AUS,26,28,13,67
1956,AUT,8,5,3,16
1956,BAH,2,0,0,2
1956,BEL,0,0,2,2
1956,BRA,0,1,0,1
1956,BUL,14,1,3,18
1956,CAN,23,5,11,39
1956,CHI,2,0,2,4
1956,DEN,1,1,4,6
1956,FIN,23,8,7,38
1956,FRA,13,7,13,33
1956,GBR,22,8,16,46
1956,GER,24,10,20,54
1956,GRE,1,0,0,1
1956,HUN,16,30,20,66
1956,IND,0,17,0,17
1956,IRI,1,2,2,5
1956,IRL,3,1,1,5
1956,ISL,0,0,1,1
1956,ITA,10,28,17,55
1956,JPN,5,4,16,25
1956,KOR,1,0,1,2
1956,MEX,1,1,0,2
1956,NOR,3,3,1,7
1956,NZL,0,3,0,3
1956,PAK,0,0,14,14
1956,POL,10,1,9,20
1956,ROU,10,6,3,19
1956,RSA,7,0,0,7
1956,SUI,5,6,2,13
1956,SWE,15,16,18,49
1956,TCH,1,1,5,7
1956,TUR,2,3,2,7
1956,URS,61,94,51,206
1956,URU,12,0,0,12
1956,USA,25,63,61,149
